id;sifra_postupka;sifra_ponude;broj_partije;naziv_proizvodjaca;zasticeni_naziv;ponudjena_vrijednost;rok_isporuke;sifra_ponudjaca;selected
1;77033;65484;74446;withdrawal Fully-configurable;Group;74113;10173;10266;true
2;26205;61867;18898;Oklahoma Sleek;Saint Right-sized;67434;95544;5224;true
3;59572;83938;67320;XML;Connecticut reinvent;52816;13457;16838;false
4;1023;69781;23226;AGP Implementation Trace;deposit Grocery;16430;91004;18209;true
5;28397;68309;77727;Internal syndicate;Track deposit South;59400;78399;38015;false
6;32516;39377;85898;Maryland interfaces;Accountability neural;23574;14130;38778;true
7;58430;15504;67744;Avon Progressive Tasty;Infrastructure;24799;87420;56711;true
8;98028;54688;93368;Nebraska seize;auxiliary multi-byte Chair;21886;46717;27779;true
9;17400;32391;11746;cultivate reinvent;Maine;7055;66810;75543;false
10;27573;7957;26156;Rubber Usability Car;Web aggregate Garden;89527;3948;14648;true
