id;sifra_postupka;broj_tendera;opis_postupka;vrsta_postupka;datum_objave;datum_otvaranja
1;28425;open-source Refined Brook;models artificial;Buckinghamshire Shoes Massachusetts;2022-03-12;2022-03-12
2;20072;relationships;Bedfordshire;Towels;2022-03-12;2022-03-12
3;68667;generation;firmware;Frozen iterate mobile;2022-03-12;2022-03-12
4;31872;Account Administrator deposit;Bike;Sports methodologies;2022-03-11;2022-03-12
5;25426;feed withdrawal Bedfordshire;Macao morph;Auto real-time;2022-03-12;2022-03-12
6;8592;reboot black;Gabon;JBOD;2022-03-12;2022-03-12
7;2457;Practical Pants Generic;Movies Fresh;Intelligent Security drive;2022-03-11;2022-03-11
8;39591;Assurance;Cambridgeshire Kentucky;West Outdoors relationships;2022-03-12;2022-03-12
9;71648;Garden;Account Representative;Peso Representative Palau;2022-03-12;2022-03-11
10;50215;reboot Self-enabling;global Planner synthesizing;user-facing;2022-03-12;2022-03-12
