id;sifra_postupka;sifra_ponude;broj_partije;atc;inn;zasticeni_naziv;farmaceutski_oblik_lijeka;jacina_lijeka;pakovanje;trazena_kolicina;procijenjena_vrijednost;ponudjena_vrijednost;rok_isporuke;naziv_ponudjaca;bod_cijena;bod_rok;bod_ukupno
1;43654;51371;37647;Plastic Legacy;engage;reboot;bypassing Tasty;Gourde Lead Account;vortals mobile invoice;18514;24836;19648;33380;multi-byte;13447;1435;12049
2;46473;98684;43671;Fresh;Cotton Toys;Shirt;programming;navigating indexing Jersey;Metal HDD overriding;84688;7041;10115;77276;Delaware distributed Bike;37726;58842;86634
3;65025;7382;16365;multi-state Computers Frozen;Cambridgeshire;Small SSL;Soft;Guarani;Interface discrete Administrator;62639;62896;24411;46493;4th bluetooth mobile;49758;77289;36731
4;21807;79757;801;Specialist Brazil mission-critical;invoice;Credit cross-platform Direct;Wooden;bandwidth;fresh-thinking;66874;967;44811;50455;Hat;46382;83790;27324
5;99044;83035;85258;best-of-breed;Advanced;seize parse Rubber;throughput didactic Card;Strategist Alabama Director;payment initiatives;59207;65537;7672;97176;Soft;98960;94609;45828
6;38292;35436;9929;Plastic Strategist;cutting-edge;Shoes;solid;Lake;Games panel;1285;63471;22438;60866;National;73428;67144;51047
7;69199;9670;31055;Alaska payment Arkansas;Senior SQL Unbranded;Books Jewelery;Kuwait;SSL;plug-and-play;42649;29995;11242;61137;web-readiness Producer;35118;56423;15682
8;31058;4314;32656;Computers Plastic Seamless;Cheese Checking;Future;capacitor;Frozen web;Uganda Ball Utah;31440;97682;68327;75505;synergies;90467;77656;11806
9;257;95437;61942;Tasty;bypassing Cloned;Niger;Mobility Pataca JBOD;Unbranded;TCP withdrawal;76365;72800;50102;71421;Frozen Pines;36799;18126;20379
10;94599;96785;16566;port;website;client-server tan Principal;olive;Saudi Belgium;navigating;13332;56374;97288;18545;Borders Marshall;240;15367;60468
