id;sifra_postupka;sifra_ponude;broj_partije;atc;inn;zasticeni_naziv;farmaceutski_oblik_lijeka;jacina_lijeka;pakovanje;trazena_kolicina;procijenjena_vrijednost;ponudjena_vrijednost;rok_isporuke;naziv_proizvodjaca;naziv_ponudjaca;bod_cijena;bod_rok;bod_ukupno
1;39290;38437;39033;Mountain;Branding;card Outdoors holistic;Tasty Administrator;Baby;Intranet e-services;51251;90646;44014;27065;compress Cambridgeshire;AI;25646;95822;1403
2;18164;76266;31551;orchestrate Outdoors;red Tennessee;Suriname;Soft;microchip;virtual e-services redundant;73571;38882;53488;99285;payment reintermediate;calculating Industrial index;32589;70465;20642
3;14713;15038;80900;Technician mobile;SSL Gibraltar transmitting;Accountability;Unit;ROI;orange Cotton;92047;85480;62579;7713;Markets Games;Architect;55102;71661;4576
4;16483;98670;36236;Keyboard dynamic;Tools Electronics;Dollar markets drive;Plastic Virginia;innovative hard wireless;bricks-and-clicks alarm;39181;49787;88553;74422;Tasty Refined;compress monitoring composite;48170;21784;15672
5;93072;96678;99551;Handmade;ubiquitous Andorra;Optimized Honduras calculate;one-to-one Wall Cheese;Cambridgeshire 24/365;parsing solutions;36046;69335;87076;80320;intuitive synthesize Computers;input Cambridgeshire bypassing;29060;70887;45900
6;64033;2057;51807;payment multi-tasking Wooden;cross-media;hacking Islands, asynchronous;open-source invoice B2C;interfaces interface;Harbors;16477;27578;18947;50449;Infrastructure;Supervisor Lead;5315;61989;85463
7;73335;56528;5809;SAS Territory;quantifying Mill Handmade;Solutions;Car salmon Towels;methodologies index;Granite;42688;5426;56132;72463;Eritrea Unbranded HTTP;panel;64998;34481;52782
8;98529;12666;38054;Fresh;Grocery portals Unbranded;sticky;protocol Rustic Generic;Legacy indexing programming;Principal Account Illinois;51215;8250;55303;49412;Mississippi Garden Stravenue;input Account Loan;76740;46419;8698
9;22399;34452;47466;Krona;invoice Orchestrator;Shoes Handmade Monitored;Granite;Table Alley Home;Sports help-desk Congo;41171;81196;58480;48349;Supervisor Borders ADP;disintermediate firewall online;62402;83845;9371
10;39072;87297;94796;program impactful Outdoors;eyeballs backing;Intelligent deposit;Tasty;functionalities;auxiliary ADP system;15540;43226;43675;45349;deposit Account Fantastic;Towels Chile teal;44103;73909;5915
